392b	巷	235・46・246・24
392c	幸	46・246・156
392d	広	6・234・1236
392e	庚	235・46・246・1234
392f	康	46・246・1234
3930	弘	46・246・346
3931	恒	46・246・125
3932	慌	26・234・1
3933	抗	6・234・124
3934	拘	26・234・124
3935	控	26・234・1236
3936	攻	46・246・12456
3937	昂	235・46・246・1236
3938	晃	456・234・1236
3939	更	6・234・156
393a	杭	6・234・23456
393b	校	46・246・126
393c	梗	456・234・126
393d	構	6・234・16
393e	江	46・246・124
393f	洪	26・234・156
3940	浩	456・234・156
3941	港	46・246・12356
3942	溝	26・234・12356
3943	甲	456・234・135
3944	皇	46・246・1256
3945	硬	456・234・16
3946	稿	46・246・234
3947	糠	456・234・246
3948	紅	6・234・146
3949	紘	456・234・12
394a	絞	6・234・1256
394b	綱	46・246・1345
394c	耕	26・234・135
394d	考	46・246・16
394e	肯	46・246・145
394f	肱	6・234・145
3950	腔	46・146・145
3951	膏	26・234・145
3952	航	46・246・1346
3953	荒	6・234・1
3954	行	46・246・12
3955	衡	6・234・234
3956	講	46・246・13
3957	貢	6・234・12356
3958	購	46・246・1245
3959	郊	46・246・134
395a	酵	46・246・2345
395b	鉱	6・234・1234
395c	砿	235・6・234・12
395d	鋼	46・246・136
395e	閤	46・246・23456
395f	降	26・234・24
3960	項	46・246・15
3961	香	26・234・16
3962	高	46・246・135
3963	鴻	6・234・2345
3964	剛	46・35・125
3965	劫	46・35・1235
3966	号	46・35・245
3967	合	46・35・1
3968	壕	46・35・1345
3969	拷	46・35・124
396a	濠	46・35・156
396b	豪	46・35・12
396c	轟	46・35・346
396d	麹	256・12356・13456
396e	克	256・246・1236
396f	刻	256・246・126
3970	告	256・246・1345
3971	国	256・246・123
3972	穀	256・246・234
3973	酷	256・246・2345
3974	鵠	256・246・125
3975	黒	256・246・146
3976	獄	256・35・1246
3977	漉	256・245・156
3978	腰	46・345・246
3979	甑	56・456・1346
397a	忽	26・246・246
397b	惚	26・246・125
397c	骨	26・246・2346
397d	狛	256・136・1246
397e	込	6・134・246
3a21	此	26・134・3
3a22	頃	46・1246・15
3a23	今	456・246・12
3a24	困	456・246・246
3a25	坤	456・246・1345
3a26	墾	456・246・1235
3a27	婚	456・246・24
3a28	恨	456・246・14
3a29	懇	456・246・245
3a2a	昏	456・246・123
3a2b	昆	456・246・1236
3a2c	根	456・246・1234
3a2d	梱	456・246・126
3a2e	混	456・246・1356
3a2f	痕	456・246・34
3a30	紺	456・246・2345
3a31	艮	456・246・1
3a32	魂	456・246・135
3a33	些	56・156・12
3a34	佐	56・156・123
3a35	叉	56・156・1356
3a36	唆	56・156・245
3a37	嵯	56・156・34
3a38	左	56・156・1236
3a39	差	56・156・156
3a3a	査	56・156・126
3a3b	沙	235・56・156・156
3a3c	瑳	56・156・24
3a3d	砂	56・156・1456
3a3e	詐	56・156・13
3a3f	鎖	56・156・146
3a40	裟	56・156・2456
3a41	坐	56・26・1235
3a42	座	56・26・1456
3a43	挫	56・26・124
3a44	債	46・156・123
3a45	催	46・156・24
3a46	再	46・156・1346
3a47	最	46・156・23456
3a48	哉	46・156・245
3a49	塞	46・156・16
3a4a	妻	46・156・1345
3a4b	宰	46・156・14
3a4c	彩	46・156・12
3a4d	才	46・156・124
3a4e	採	46・156・2345
3a4f	栽	46・156・126
3a50	歳	46・156・1235
3a51	済	46・156・1456
3a52	災	46・156・3
3a53	采	235・46・156・1345
3a54	犀	46・156・1
3a55	砕	46・156・146
3a56	砦	46・156・1256
3a57	祭	46・156・1356
3a58	斎	46・156・34
3a59	細	46・156・2346
3a5a	菜	46・156・13
3a5b	裁	46・156・156
3a5c	載	46・156・234
3a5d	際	46・156・134
3a5e	剤	46・26・125
3a5f	在	46・26・1
3a60	材	46・26・126
3a61	罪	46・26・1345
3a62	財	46・26・1245
3a63	冴	56・35・1456
3a64	坂	456・136・156
3a65	阪	456・136・134
3a66	堺	46・16・1235
3a67	榊	456・1256・126
3a68	肴	456・234・145
3a69	咲	46・134・156
3a6a	崎	56・126・156
3a6b	埼	56・126・1235
3a6c	碕	235・56・126・12
3a6d	鷺	26・245・2345
3a6e	作	256・156・1345
3a6f	削	256・156・1246
3a70	咋	256・156・245
3a71	搾	256・156・1256
3a72	昨	256・156・1236
3a73	朔	256・156・145
3a74	柵	256・156・126
3a75	窄	256・156・1
3a76	策	256・156・135
3a77	索	256・156・12
3a78	錯	256・156・16
3a79	桜	46・24・156
3a7a	鮭	46・1246・12346
3a7b	笹	46・12456・1246
3a7c	匙	26・134・1236
3a7d	冊	26・156・3
3a7e	刷	26・156・1456
3b21	察	26・156・14
3b22	拶	26・156・12345
3b23	撮	26・156・2345
3b24	擦	26・156・124
3b25	札	26・156・1346
3b26	殺	26・156・246
3b27	薩	26・156・146
3b28	雑	26・26・13
3b29	皐	456・234・1256
3b2a	鯖	46・12456・12346
3b2b	捌	26・456・124
3b2c	錆	46・12456・16
3b2d	鮫	46・246・12346
3b2e	皿	46・456・156
3b2f	晒	46・156・1236
3b30	三	5・3456・14
3b31	傘	456・156・16
3b32	参	456・156・1356
3b33	山	456・156・34
3b34	惨	456・156・12356
3b35	撒	456・156・124
3b36	散	456・156・1235
3b37	桟	456・156・126
3b38	燦	456・156・1236
3b39	珊	456・156・24
3b3a	産	456・156・14
3b3b	算	456・156・135
3b3c	纂	456・156・12
3b3d	蚕	456・156・246
3b3e	讃	456・156・13
3b3f	賛	456・156・1245
3b40	酸	456・156・2345
3b41	餐	456・156・134
3b42	斬	456・26・24
3b43	暫	456・26・1236
3b44	残	456・26・234
3b45	仕	56・1256・123
3b46	仔	56・1256・1236
3b47	伺	26・134・14
3b48	使	56・1256・1345
3b49	刺	26・134・156
3b4a	司	26・134・245
3b4b	史	56・1256・245
3b4c	嗣	56・1256・146
3b4d	四	5・3456・145
3b4e	士	56・1256・15
3b4f	始	56・1256・136
3b50	姉	56・1256・1
3b51	姿	56・1256・1456
3b52	子	56・1256・246
3b53	屍	56・1256・1234
3b54	市	26・134・12
3b55	師	56・1256・126
3b56	志	26・134・246
3b57	思	56・1256・24
3b58	指	56・1256・346
3b59	支	56・1256・156
3b5a	孜	26・134・234
3b5b	斯	6・34・24
3b5c	施	56・1256・2346
3b5d	旨	56・1256・13456
3b5e	枝	56・1256・124
3b5f	止	56・1256・2345
3b60	死	56・1256・1256
3b61	氏	56・1256・14
3b62	獅	56・1256・1246
3b63	祉	26・134・1256
3b64	私	56・1256・3
3b65	糸	56・1256・12
3b66	紙	56・1256・16
3b67	紫	26・134・13456
3b68	肢	56・1256・145
3b69	脂	26・134・1
3b6a	至	6・34・12
3b6b	視	26・134・123
3b6c	詞	26・134・13
3b6d	詩	56・1256・13
3b6e	試	56・1256・135
3b6f	誌	6・34・13
3b70	諮	6・34・136
3b71	資	56・1256・1245
3b72	賜	26・134・135
3b73	雌	56・1256・123456
3b74	飼	26・134・16
