595d	掟	235・24・1234・124
595e	掵	235・125・123456・124
595f	捫	235・245・23456・124
5960	捩	235・15・1245・124
5961	掾	235・245・124・12345
5962	揩	235・125・16・124
5963	揀	235・24・16・12345
5964	揆	235・1245・126・12345
5965	揣	235・1245・1256・124
5966	揉	456・346・124
5967	插	235・125・14・12345
5968	揶	235・1245・34・124
5969	揄	235・1245・346・124
596a	搖	235・125・345・12345
596b	搴	235・145・1246・124
596c	搆	235・24・234・124
596d	搓	235・1245・156・12345
596e	搦	256・5・124
596f	搶	235・1235・2456・124
5970	攝	235・15・12456・12345
5971	搗	235・24・1234・12345
5972	搨	235・145・1234・124
5973	搏	235・145・136・124
5974	摧	46・156・12345
5975	摯	235・1245・1256・12345
5976	摶	235・245・135・12345
5977	摎	235・24・146・124
5978	攪	235・145・16・12345
5979	撕	235・125・12456・12345
597a	撓	6・1234・124
597b	撥	26・136・124
597c	撩	235・125・125・124
597d	撈	235・125・245・12345
597e	撼	235・245・356・124
5a21	據	235・24・246・124
5a22	擒	235・245・126・12345
5a23	擅	235・245・12456・124
5a24	擇	235・145・135・12345
5a25	撻	235・15・135・124
5a26	擘	235・145・136・12345
5a27	擂	235・125・15・124
5a28	擱	235・145・14・12345
5a29	擧	235・24・246・12345
5a2a	舉	235・24・246・14
5a2b	擠	235・1245・12456・124
5a2c	擡	235・125・135・124
5a2d	抬	46・135・124
5a2e	擣	235・1235・2345・124
